期刊名称,期刊简称,aisRank,jifRank,ISSN,EISSN,学科门类,总引用次数,影响因子,分区,jci,percentageOAGold,数据库
EUROPEAN PSYCHIATRY,EUR PSYCHIAT,21/285,14/293,0924-9338,1778-3585,PSYCHIATRY,9913.0,7.9,Q1,1.2,100.0,"SCIE, SSCI"
Bio-Design and Manufacturing,BIO-DES MANUF,29/126,19/130,2096-5524,2522-8552,"ENGINEERING, BIOMEDICAL",2245.0,7.9,Q1,1.17,24.67,SCIE
EUROPEAN JOURNAL OF ANAESTHESIOLOGY,EUR J ANAESTH,8/69,3/72,0265-0215,1365-2346,ANESTHESIOLOGY,7011.0,7.8,Q1,2.44,23.85,SCIE
AMERICAN JOURNAL OF CHINESE MEDICINE,AM J CHINESE MED,52/315,25/336,0192-415X,1793-6853,"MEDICINE, GENERAL & INTERNAL",6797.0,7.8,Q1,1.67,2.55,SCIE
CURRENT OPINION IN STRUCTURAL BIOLOGY,CURR OPIN STRUC BIOL,36/319,43/328,0959-440X,1879-033X,BIOCHEMISTRY & MOLECULAR BIOLOGY,13672.0,7.8,Q1,1.35,55.11,SCIE
European Heart Journal-Acute Cardiovascular Care,EUR HEART J-ACUTE CA,47/229,29/237,2048-8726,2048-8734,CARDIAC & CARDIOVASCULAR SYSTEMS,3810.0,7.8,Q1,1.33,22.77,SCIE
Stem Cell Research & Therapy,STEM CELL RES THER,5/31,4/32,,1757-6512,CELL & TISSUE ENGINEERING,31355.0,7.8,Q1,1.3,100.0,SCIE
Artificial Intelligence in Medicine,ARTIF INTELL MED,35/202,35/210,0933-3657,1873-2860,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",9654.0,7.8,Q1,1.28,31.47,SCIE
APPLIED SOFT COMPUTING,APPL SOFT COMPUT,53/202,35/210,1568-4946,1872-9681,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",56796.0,7.8,Q1,1.26,9.89,SCIE
Intelligent Medicine,INTEL MED,19/51,5/54,2667-1026,2667-1026,MEDICAL INFORMATICS,732.0,7.8,Q1,0.95,100.0,ESCI
CURRENT OPINION IN BIOTECHNOLOGY,CURR OPIN BIOTECH,7/85,3/85,0958-1669,1879-0429,BIOCHEMICAL RESEARCH METHODS,19937.0,7.8,Q1,0.87,46.49,SCIE
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,J NEUROL NEUROSUR PS,11/285,18/296,0022-3050,1468-330X,CLINICAL NEUROLOGY,32201.0,7.7,Q1,2.44,40.25,SCIE
MOVEMENT DISORDERS,MOVEMENT DISORD,19/285,18/296,0885-3185,1531-8257,CLINICAL NEUROLOGY,36832.0,7.7,Q1,1.91,67.37,SCIE
IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,7/51,7/54,2168-2194,2168-2208,MEDICAL INFORMATICS,27151.0,7.7,Q1,1.77,6.35,SCIE
PLOS Digital Health,PLOS DIGIT HEALTH,14/180,9/194,,2767-3170,HEALTH CARE SCIENCES & SERVICES,4455.0,7.7,Q1,1.72,99.72,ESCI
IEEE Computational Intelligence Magazine,IEEE COMPUT INTELL M,21/202,37/210,1556-603X,1556-6048,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2997.0,7.7,Q1,1.69,0.0,SCIE
AGING CELL,AGING CELL,39/203,44/207,1474-9718,1474-9726,CELL BIOLOGY,22553.0,7.7,Q1,1.46,100.0,SCIE
CURRENT BIOLOGY,CURR BIOL,24/319,44/328,0960-9822,1879-0445,BIOCHEMISTRY & MOLECULAR BIOLOGY,85734.0,7.7,Q1,1.46,38.97,SCIE
Cell Reports,CELL REP,32/203,44/207,2639-1856,2211-1247,CELL BIOLOGY,115058.0,7.7,Q1,1.14,99.91,SCIE
JOURNAL OF INTELLIGENT MANUFACTURING,J INTELL MANUF,42/202,37/210,0956-5515,1572-8145,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",13199.0,7.7,Q1,1.12,29.21,SCIE
Inflammation and Regeneration,INFLAMM REGEN,31/187,29/191,,1880-8190,"MEDICINE, RESEARCH & EXPERIMENTAL",2529.0,7.7,Q1,1.08,100.0,SCIE
Life Medicine,LIFE MED,12/187,29/191,,2755-1733,"MEDICINE, RESEARCH & EXPERIMENTAL",586.0,7.7,Q1,0.77,100.0,ESCI
JOURNAL OF INTERNAL MEDICINE,J INTERN MED,20/315,26/336,0954-6820,1365-2796,"MEDICINE, GENERAL & INTERNAL",16193.0,7.6,Q1,1.75,72.59,SCIE
NEUROPSYCHOPHARMACOLOGY,NEUROPSYCHOPHARMACOL,19/320,28/330,0893-133X,1740-634X,NEUROSCIENCES,32107.0,7.6,Q1,1.63,50.27,SCIE
CELL PROLIFERATION,CELL PROLIFERAT,60/203,47/207,0960-7722,1365-2184,CELL BIOLOGY,10862.0,7.6,Q1,0.8,100.0,SCIE
ANNALS OF NEUROLOGY,ANN NEUROL,9/285,20/296,0364-5134,1531-8249,CLINICAL NEUROLOGY,37743.0,7.5,Q1,2.09,51.27,SCIE
JOURNAL OF PINEAL RESEARCH,J PINEAL RES,54/320,29/330,0742-3098,1600-079X,NEUROSCIENCES,10034.0,7.5,Q1,1.97,36.55,SCIE
BRAIN BEHAVIOR AND IMMUNITY,BRAIN BEHAV IMMUN,33/320,29/330,0889-1591,1090-2139,NEUROSCIENCES,30942.0,7.5,Q1,1.86,47.59,SCIE
Translational Psychiatry,TRANSL PSYCHIAT,19/285,17/293,2158-3188,2158-3188,PSYCHIATRY,29253.0,7.5,Q1,1.82,99.86,SCIE
Anesthesiology and Perioperative Science,ANESTHES PERIOP SCI,10/69,4/72,,2731-8389,ANESTHESIOLOGY,512.0,7.5,Q1,1.66,100.0,ESCI
BRITISH MEDICAL BULLETIN,BRIT MED BULL,21/315,27/336,0007-1420,1471-8391,"MEDICINE, GENERAL & INTERNAL",6305.0,7.5,Q1,1.41,57.53,SCIE
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,33/202,39/210,0167-9236,1873-5797,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",14693.0,7.5,Q1,1.32,20.96,SCIE
Cell Systems,CELL SYST,14/319,45/328,2405-4712,2405-4720,BIOCHEMISTRY & MOLECULAR BIOLOGY,12040.0,7.5,Q1,1.27,32.06,SCIE
Current Psychiatry Reports,CURR PSYCHIAT REP,15/285,17/293,1523-3812,1535-1645,PSYCHIATRY,11361.0,7.5,Q1,0.96,34.85,"SCIE, SSCI"
ANAESTHESIA,ANAESTHESIA,3/69,5/72,0003-2409,1365-2044,ANESTHESIOLOGY,14932.0,7.4,Q1,2.48,51.19,SCIE
Neurotherapeutics,NEUROTHERAPEUTICS,23/285,21/296,1933-7213,1878-7479,CLINICAL NEUROLOGY,11851.0,7.4,Q1,1.94,84.52,SCIE
JMIR Mental Health,JMIR MENT HEALTH,35/285,20/293,2368-7959,2368-7959,PSYCHIATRY,7638.0,7.4,Q1,1.68,99.22,SCIE
Alzheimers & Dementia-Translational Research & Clinical Interventions,ALZH DEMENT-TRCI,25/285,21/296,,2352-8737,CLINICAL NEUROLOGY,4462.0,7.4,Q1,1.57,99.64,ESCI
Communications Medicine,COMMUN MED-LONDON,23/187,31/191,2730-664X,2730-664X,"MEDICINE, RESEARCH & EXPERIMENTAL",5278.0,7.4,Q1,1.57,99.9,ESCI
GENES & DEVELOPMENT,GENE DEV,29/203,49/207,0890-9369,1549-5477,CELL BIOLOGY,42641.0,7.4,Q1,1.37,99.53,SCIE
Psychoradiology,PSYCHORADIOLOGY,2/18,1/18,,2634-4416,NEUROIMAGING,582.0,7.4,Q1,1.04,100.0,ESCI
Cognitive Computation,COGN COMPUT,71/202,40/210,1866-9956,1866-9964,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4941.0,7.4,Q1,1.0,22.22,SCIE
Current Neurology and Neuroscience Reports,CURR NEUROL NEUROSCI,27/285,21/296,1528-4042,1534-6293,CLINICAL NEUROLOGY,6435.0,7.4,Q1,0.9,26.03,SCIE
GLOBAL CHALLENGES,GLOB CHALL,28/135,16/140,,2056-6646,MULTIDISCIPLINARY SCIENCES,3488.0,7.4,Q1,0.86,99.62,SCIE
CELLULAR AND MOLECULAR NEUROBIOLOGY,CELL MOL NEUROBIOL,96/203,49/207,0272-4340,1573-6830,CELL BIOLOGY,8134.0,7.4,Q1,0.78,69.45,SCIE
Polish Heart Journal-Kardiologia Polska,POLISH HEART J,26/229,30/237,0022-9032,1897-4279,CARDIAC & CARDIOVASCULAR SYSTEMS,3542.0,7.4,Q1,0.64,94.81,SCIE
BRIEFINGS IN BIOINFORMATICS,BRIEF BIOINFORM,6/85,4/85,1467-5463,1477-4054,BIOCHEMICAL RESEARCH METHODS,33255.0,7.3,Q1,1.79,81.95,SCIE
METABOLIC ENGINEERING,METAB ENG,17/175,19/180,1096-7176,1096-7184,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,13071.0,7.3,Q1,1.71,34.16,SCIE
Environmental Technology & Innovation,ENVIRON TECHNOL INNO,48/175,19/180,2352-1864,2352-1864,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,22886.0,7.3,Q1,1.29,99.94,SCIE
CLINICAL SCIENCE,CLIN SCI,32/187,32/191,0143-5221,1470-8736,"MEDICINE, RESEARCH & EXPERIMENTAL",13268.0,7.3,Q1,1.19,86.91,SCIE
JACC-Clinical Electrophysiology,JACC-CLIN ELECTROPHY,21/229,31/237,2405-500X,2405-5018,CARDIAC & CARDIOVASCULAR SYSTEMS,8478.0,7.2,Q1,1.84,23.08,SCIE
Circulation-Cardiovascular Interventions,CIRC-CARDIOVASC INTE,20/229,31/237,1941-7640,1941-7632,CARDIAC & CARDIOVASCULAR SYSTEMS,7948.0,7.2,Q1,1.69,18.39,SCIE
Scientific Data,SCI DATA,16/135,17/140,,2052-4463,MULTIDISCIPLINARY SCIENCES,55822.0,7.2,Q1,1.62,99.95,SCIE
Fluids and Barriers of the CNS,FLUIDS BARRIERS CNS,34/320,37/330,2045-8118,2045-8118,NEUROSCIENCES,5562.0,7.2,Q1,1.61,100.0,SCIE
npj Vaccines,NPJ VACCINES,27/187,33/191,,2059-0105,"MEDICINE, RESEARCH & EXPERIMENTAL",6659.0,7.2,Q1,1.44,100.0,SCIE
NEURAL NETWORKS,NEURAL NETWORKS,36/202,41/210,0893-6080,1879-2782,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",37463.0,7.2,Q1,1.42,13.28,SCIE
Current Molecular Pharmacology,CURR MOL PHARMACOL,162/319,46/328,1874-4672,1874-4702,BIOCHEMISTRY & MOLECULAR BIOLOGY,2562.0,7.2,Q1,0.97,58.16,SCIE
CURRENT OPINION IN CHEMICAL BIOLOGY,CURR OPIN CHEM BIOL,49/319,46/328,1367-5931,1879-0402,BIOCHEMISTRY & MOLECULAR BIOLOGY,11193.0,7.2,Q1,0.88,34.08,SCIE
BioDesign Research,BIODESIGN RES,,21/180,2693-1257,2693-1257,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,578.0,7.2,Q1,0.85,100.0,ESCI
MIT Technology Review,MIT TECHNOL REV,,17/140,1099-274X,,MULTIDISCIPLINARY SCIENCES,1198.0,7.2,Q1,0.02,0.0,SCIE
ATHEROSCLEROSIS,ATHEROSCLEROSIS,44/229,33/237,0021-9150,1879-1484,CARDIAC & CARDIOVASCULAR SYSTEMS,25027.0,7.1,Q1,1.5,41.17,SCIE
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,J AM MED INFORM ASSN,17/180,10/194,1067-5027,1527-974X,HEALTH CARE SCIENCES & SERVICES,18887.0,7.1,Q1,1.48,38.63,SCIE
Science of Remote Sensing,SCI REMOTE SENSING,6/37,7/39,2666-0172,2666-0172,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,1743.0,7.1,Q1,1.13,100.0,ESCI
CNS DRUGS,CNS DRUGS,21/285,24/296,1172-7047,1179-1934,CLINICAL NEUROLOGY,7910.0,7.0,Q1,1.64,55.83,SCIE
HEART RHYTHM,HEART RHYTHM,41/229,34/237,1547-5271,1556-3871,CARDIAC & CARDIOVASCULAR SYSTEMS,16881.0,7.0,Q1,1.51,23.06,SCIE
Fundamental Research,FUND RES-CHINA,20/135,19/140,2096-9457,2667-3258,MULTIDISCIPLINARY SCIENCES,4481.0,7.0,Q1,1.49,100.0,ESCI
npj Regenerative Medicine,NPJ REGEN MED,4/31,5/32,,2057-3995,CELL & TISSUE ENGINEERING,3206.0,7.0,Q1,1.37,100.0,SCIE
SLEEP,SLEEP,26/285,24/296,0161-8105,1550-9109,CLINICAL NEUROLOGY,31454.0,7.0,Q1,1.37,35.09,SCIE
EPMA Journal,EPMA J,60/187,34/191,1878-5077,1878-5085,"MEDICINE, RESEARCH & EXPERIMENTAL",2288.0,7.0,Q1,1.35,36.89,SCIE
Science Signaling,SCI SIGNAL,34/319,48/328,1945-0877,1937-9145,BIOCHEMISTRY & MOLECULAR BIOLOGY,14775.0,7.0,Q1,1.23,3.48,SCIE
BIOMASS & BIOENERGY,BIOMASS BIOENERG,54/175,22/180,0961-9534,1873-2909,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,26239.0,7.0,Q1,1.18,24.39,SCIE
ISPRS Open Journal of Photogrammetry and Remote Sensing,ISPRS OPEN J PHOTOGR,8/37,8/39,,2667-3932,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,512.0,7.0,Q1,1.06,100.0,ESCI
FRONTIERS IN NEUROENDOCRINOLOGY,FRONT NEUROENDOCRIN,29/320,39/330,0091-3022,1095-6808,NEUROSCIENCES,6208.0,7.0,Q1,0.95,46.67,SCIE
Photoacoustics,PHOTOACOUSTICS,26/126,22/130,2213-5979,2213-5979,"ENGINEERING, BIOMEDICAL",4068.0,6.9,Q1,1.9,100.0,SCIE
International Journal of Stroke,INT J STROKE,18/285,26/296,1747-4930,1747-4949,CLINICAL NEUROLOGY,9802.0,6.9,Q1,1.78,28.17,SCIE
Circulation-Cardiovascular Quality and Outcomes,CIRC-CARDIOVASC QUAL,18/229,35/237,1941-7705,1941-7713,CARDIAC & CARDIOVASCULAR SYSTEMS,8355.0,6.9,Q1,1.57,14.78,SCIE
PLOS BIOLOGY,PLOS BIOL,29/319,49/328,1544-9173,1545-7885,BIOCHEMISTRY & MOLECULAR BIOLOGY,42592.0,6.9,Q1,1.49,100.0,SCIE
REDOX REPORT,REDOX REP,94/319,49/328,1351-0002,1743-2928,BIOCHEMISTRY & MOLECULAR BIOLOGY,2765.0,6.9,Q1,1.39,100.0,SCIE
Drug Delivery and Translational Research,DRUG DELIV TRANSL RE,65/187,35/191,2190-393X,2190-3948,"MEDICINE, RESEARCH & EXPERIMENTAL",10319.0,6.9,Q1,1.38,39.34,SCIE
Sensors and Actuators Reports,SENSOR ACTUATOR REP,45/175,23/180,2666-0539,2666-0539,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2275.0,6.9,Q1,1.31,99.26,SCIE
Lipids in Health and Disease,LIPIDS HEALTH DIS,88/319,49/328,,1476-511X,BIOCHEMISTRY & MOLECULAR BIOLOGY,14903.0,6.9,Q1,1.21,100.0,SCIE
Frontiers in Synaptic Neuroscience,FRONT SYNAPTIC NEURO,63/320,41/330,1663-3563,1663-3563,NEUROSCIENCES,1817.0,6.9,Q1,0.72,100.0,SCIE
BMJ Quality & Safety,BMJ QUAL SAF,11/180,11/194,2044-5415,2044-5423,HEALTH CARE SCIENCES & SERVICES,8430.0,6.8,Q1,1.72,48.98,SCIE
JCI Insight,JCI INSIGHT,21/187,36/191,,2379-3708,"MEDICINE, RESEARCH & EXPERIMENTAL",32354.0,6.8,Q1,1.62,99.54,SCIE
MEDICAL JOURNAL OF AUSTRALIA,MED J AUSTRALIA,25/315,28/336,0025-729X,1326-5377,"MEDICINE, GENERAL & INTERNAL",12934.0,6.8,Q1,1.44,80.99,SCIE
JBI Evidence Synthesis,JBI EVID SYNTH,24/180,11/194,,2689-8381,HEALTH CARE SCIENCES & SERVICES,6521.0,6.8,Q1,1.15,13.25,ESCI
Bioelectronic Medicine,BIOELECTRON MED-US,,23/130,,2332-8886,"ENGINEERING, BIOMEDICAL",703.0,6.8,Q1,1.06,100.0,ESCI
Neuroscience Bulletin,NEUROSCI BULL,47/320,42/330,1673-7067,1995-8218,NEUROSCIENCES,6594.0,6.8,Q1,1.05,30.08,SCIE
ANTIOXIDANTS & REDOX SIGNALING,ANTIOXID REDOX SIGN,61/319,52/328,1523-0864,1557-7716,BIOCHEMISTRY & MOLECULAR BIOLOGY,25052.0,6.8,Q1,1.04,10.77,SCIE
JOURNAL OF MACHINE LEARNING RESEARCH,J MACH LEARN RES,9/202,42/210,1532-4435,,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",67823.0,6.8,Q1,0.94,0.19,SCIE
HEALTH AFFAIRS,HEALTH AFFAIR,5/180,13/194,0278-2715,0278-2715,HEALTH CARE SCIENCES & SERVICES,20492.0,6.7,Q1,2.53,26.05,SCIE
JOURNAL OF HEART AND LUNG TRANSPLANTATION,J HEART LUNG TRANSPL,28/229,36/237,1053-2498,1557-3117,CARDIAC & CARDIOVASCULAR SYSTEMS,14069.0,6.7,Q1,1.91,15.76,SCIE
JPAD-Journal of Prevention of Alzheimers Disease,JPAD-J PREV ALZHEIM,17/285,27/296,2274-5807,2426-0266,CLINICAL NEUROLOGY,5063.0,6.7,Q1,1.91,99.79,SCIE
Molecular Systems Biology,MOL SYST BIOL,18/319,53/328,1744-4292,1744-4292,BIOCHEMISTRY & MOLECULAR BIOLOGY,10364.0,6.7,Q1,1.42,100.0,SCIE
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,56/202,43/210,1568-4539,1573-2908,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1349.0,6.7,Q1,1.24,15.63,SCIE
Microbial Biotechnology,MICROB BIOTECHNOL,28/175,24/180,1751-7915,1751-7915,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,10793.0,6.7,Q1,1.11,100.0,SCIE
Current Research in Biotechnology,CURR RES BIOTECHNOL,50/175,24/180,2590-2628,2590-2628,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1589.0,6.7,Q1,1.1,100.0,ESCI
BioChip Journal,BIOCHIP J,34/85,5/85,1976-0280,2092-7843,BIOCHEMICAL RESEARCH METHODS,1680.0,6.7,Q1,1.05,21.79,SCIE
Advanced Intelligent Systems,ADV INTELL SYST-GER,31/202,43/210,,2640-4567,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",11417.0,6.7,Q1,1.01,100.0,SCIE
Chemical & Biomedical Imaging,CHEM BIOMED IMAGING,28/126,24/130,2832-3637,2832-3637,"ENGINEERING, BIOMEDICAL",1221.0,6.7,Q1,1.0,100.0,ESCI
NEUROCOMPUTING,NEUROCOMPUTING,52/202,43/210,0925-2312,1872-8286,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",74882.0,6.7,Q1,1.0,12.15,SCIE
Biomaterials Advances,BIOMATER ADV,16/56,14/58,,2772-9508,"MATERIALS SCIENCE, BIOMATERIALS",9075.0,6.7,Q1,0.99,26.49,SCIE
Visual Computing for Industry Biomedicine and Art,VIS COMPUT IND BIOME,15/37,9/39,,2524-4442,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,857.0,6.7,Q1,0.84,100.0,ESCI
Frontiers in Artificial Intelligence,FRONT ARTIF INTELL,51/202,43/210,,2624-8212,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7520.0,6.7,Q1,0.74,100.0,ESCI
IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,IEEE T NEUR SYS REH,23/126,25/130,1534-4320,1558-0210,"ENGINEERING, BIOMEDICAL",20154.0,6.6,Q1,2.02,100.0,SCIE
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,J CHILD PSYCHOL PSYC,12/285,23/293,0021-9630,1469-7610,PSYCHIATRY,24510.0,6.6,Q1,1.62,68.85,"SCIE, SSCI"
BMJ Mental Health,BMJ MENTAL HEALTH,17/285,23/293,,2755-9734,PSYCHIATRY,1012.0,6.6,Q1,1.44,100.0,SCIE
CNS Neuroscience & Therapeutics,CNS NEUROSCI THER,73/320,44/330,1755-5930,1755-5949,NEUROSCIENCES,14945.0,6.6,Q1,1.38,99.93,SCIE
MAYO CLINIC PROCEEDINGS,MAYO CLIN PROC,24/315,29/336,0025-6196,1942-5546,"MEDICINE, GENERAL & INTERNAL",21169.0,6.5,Q1,1.66,15.2,SCIE
Acta Neuropathologica Communications,ACTA NEUROPATHOL COM,32/320,45/330,2051-5960,2051-5960,NEUROSCIENCES,11791.0,6.5,Q1,1.51,100.0,SCIE
Molecular Therapy Nucleic Acids,MOL THER NUCL ACIDS,41/187,37/191,2162-2531,2162-2531,"MEDICINE, RESEARCH & EXPERIMENTAL",14299.0,6.5,Q1,1.4,100.0,SCIE
VISUAL NEUROSCIENCE,VISUAL NEUROSCI,149/320,45/330,0952-5238,1469-8714,NEUROSCIENCES,1840.0,6.5,Q1,1.22,91.89,SCIE
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,MUTAT RES-REV MUTAT,16/175,26/180,1383-5742,1388-2139,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,3773.0,6.5,Q1,1.09,41.33,SCIE
Cell and Bioscience,CELL BIOSCI,68/319,54/328,,2045-3701,BIOCHEMISTRY & MOLECULAR BIOLOGY,9038.0,6.5,Q1,1.02,100.0,SCIE
Annual Review of Vision Science,ANNU REV VIS SCI,22/320,45/330,2374-4642,2374-4650,NEUROSCIENCES,2295.0,6.5,Q1,1.01,98.55,SCIE
CELLULAR AND MOLECULAR LIFE SCIENCES,CELL MOL LIFE SCI,48/319,54/328,1420-682X,1420-9071,BIOCHEMISTRY & MOLECULAR BIOLOGY,44129.0,6.5,Q1,0.98,87.62,SCIE
AI,AI-BASEL,73/202,47/210,,2673-2688,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2218.0,6.5,Q1,0.76,100.0,ESCI
EXPERT REVIEWS IN MOLECULAR MEDICINE,EXPERT REV MOL MED,74/319,54/328,1462-3994,1462-3994,BIOCHEMISTRY & MOLECULAR BIOLOGY,2509.0,6.5,Q1,0.57,87.5,SCIE
Lancet Regional Health - Southeast Asia,LANCET REG HLTH-SE A,18/180,14/194,2772-3682,2772-3682,HEALTH CARE SCIENCES & SERVICES,1947.0,6.4,Q1,1.81,100.0,ESCI
MOLECULAR BIOLOGY AND EVOLUTION,MOL BIOL EVOL,13/319,57/328,0737-4038,1537-1719,BIOCHEMISTRY & MOLECULAR BIOLOGY,72786.0,6.4,Q1,1.61,100.0,SCIE
PALLIATIVE MEDICINE,PALLIATIVE MED,31/180,14/194,0269-2163,1477-030X,HEALTH CARE SCIENCES & SERVICES,9020.0,6.4,Q1,1.45,67.38,SCIE
LIFE SCIENCES,LIFE SCI,61/187,39/191,0024-3205,1879-0631,"MEDICINE, RESEARCH & EXPERIMENTAL",51400.0,6.4,Q1,1.39,17.97,SCIE
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E,106/202,48/210,1069-2509,1875-8835,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",765.0,6.4,Q1,1.28,20.0,SCIE
CANCER GENE THERAPY,CANCER GENE THER,23/175,27/180,0929-1903,1476-5500,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,5943.0,6.4,Q1,1.11,44.92,SCIE
Computer Methods and Programs in Biomedicine,COMPUT METH PROG BIO,30/126,26/130,0169-2607,1872-7565,"ENGINEERING, BIOMEDICAL",24674.0,6.4,Q1,1.09,34.12,SCIE
Precision Clinical Medicine,PRECIS CLIN MED,51/187,39/191,2096-5303,2516-1571,"MEDICINE, RESEARCH & EXPERIMENTAL",920.0,6.4,Q1,1.01,100.0,ESCI
ACM Transactions on Interactive Intelligent Systems,ACM T INTERACT INTEL,67/202,48/210,2160-6455,2160-6463,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2258.0,6.4,Q1,0.92,34.94,SCIE
Stress Biology,STRESS BIOL,56/319,57/328,,2731-0450,BIOCHEMISTRY & MOLECULAR BIOLOGY,1465.0,6.4,Q1,0.85,100.0,ESCI
Intelligent Computing,INTELL COMPUT-WASH,48/202,48/210,,2771-5892,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",528.0,6.4,Q1,0.72,100.0,ESCI
BrainX,BRAIN-X,55/202,48/210,2835-3153,2835-3153,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",303.0,6.4,Q1,0.68,100.0,ESCI
Cell Insight,CELL INSIGHT,60/319,57/328,,2772-8927,BIOCHEMISTRY & MOLECULAR BIOLOGY,649.0,6.4,Q1,0.64,100.0,ESCI
Journal of Behavioral Addictions,J BEHAV ADDICT,28/285,25/293,2062-5871,2063-5303,PSYCHIATRY,7222.0,6.3,Q1,1.72,100.0,"SCIE, SSCI"
MOLECULAR & CELLULAR PROTEOMICS,MOL CELL PROTEOMICS,5/85,6/85,,1535-9484,BIOCHEMICAL RESEARCH METHODS,17736.0,6.3,Q1,1.53,100.0,SCIE
GENOME RESEARCH,GENOME RES,23/319,60/328,1088-9051,1549-5469,BIOCHEMISTRY & MOLECULAR BIOLOGY,43894.0,6.3,Q1,1.35,3.08,SCIE
JMIR mHealth and uHealth,JMIR MHEALTH UHEALTH,26/180,16/194,2291-5222,2291-5222,HEALTH CARE SCIENCES & SERVICES,16615.0,6.3,Q1,1.31,98.67,SCIE
Journal of Biological Engineering,J BIOL ENG,14/85,6/85,1754-1611,1754-1611,BIOCHEMICAL RESEARCH METHODS,3274.0,6.3,Q1,1.17,100.0,SCIE
Food & Function,FOOD FUNCT,126/319,60/328,2042-6496,2042-650X,BIOCHEMISTRY & MOLECULAR BIOLOGY,45712.0,6.3,Q1,1.08,19.03,SCIE
LAB ON A CHIP,LAB CHIP,17/85,6/85,1473-0197,1473-0189,BIOCHEMICAL RESEARCH METHODS,34329.0,6.3,Q1,1.06,38.79,SCIE
Bioresources and Bioprocessing,BIORESOUR BIOPROCESS,49/175,28/180,,2197-4365,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,5099.0,6.3,Q1,1.02,100.0,SCIE
Biomedical Journal,BIOMED J,93/319,60/328,2319-4170,2320-2890,BIOCHEMISTRY & MOLECULAR BIOLOGY,3768.0,6.3,Q1,0.96,100.0,SCIE
Artificial Intelligence Chemistry,ARTIF INTELL CHEM,59/202,52/210,,2949-7477,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",533.0,6.3,Q1,0.84,100.0,ESCI
Organogenesis,ORGANOGENESIS,154/319,60/328,1547-6278,1555-8592,BIOCHEMISTRY & MOLECULAR BIOLOGY,1061.0,6.3,Q1,0.68,100.0,SCIE
MILBANK QUARTERLY,MILBANK Q,8/180,17/194,0887-378X,1468-0009,HEALTH CARE SCIENCES & SERVICES,5495.0,6.2,Q1,1.85,51.72,SCIE
VALUE IN HEALTH,VALUE HEALTH,13/180,17/194,1098-3015,1524-4733,HEALTH CARE SCIENCES & SERVICES,17374.0,6.2,Q1,1.58,41.55,SCIE
MEDICAL EDUCATION,MED EDUC,12/180,17/194,0308-0110,1365-2923,HEALTH CARE SCIENCES & SERVICES,13985.0,6.2,Q1,1.47,78.31,SCIE
Bioengineering & Translational Medicine,BIOENG TRANSL MED,24/126,28/130,,2380-6761,"ENGINEERING, BIOMEDICAL",5075.0,6.2,Q1,1.09,100.0,SCIE
